Question?,Answer,ETA
How to change the map-view location changed?,Restart service/process,15 mins
How to customize a vehicle profile?,Check API docs,2 hour
folium.PolyLine() accepts transparent colors?,Check API docs,30 mins
Compare ORS w/ Google Maps,,3 hour
Compare ORS w/ GeoApify,,3 hour
Should there be features to update status of road accessibility?,trigger when decision made,think
,
,
TODO,how,ETA
Show time-taken in popup/tooltips,,30 mins
Extract information of time-dist matrix,from ORS API,30 mins
Find ETAs of Pothole Pro for each task,from youtube video,1 hour
Create a sample project with dummy values,DO IT,3 days
pass data values from file/db,Later,1 day
,
,
dist;time;wgt;trip,descriptive stats
charts, data viz